file,purpose,manuscript_link
gee/01_build_ecohydro_gde_zones.js,"Ecohydrological-GDE zones","Methods 2.2; Figure 1"
gee/02_export_static_annual_stacks.js,"Static and annual spatial stacks","Methods 2.1-2.3"
src/01_extract_class_year_table.py,"ClassCode-year aggregation","Methods 2.3"
src/02_model_hydroclimatic_lai_capacity.py,"Hydroclimatic LAI carrying capacity","Methods 2.3"
src/03_compute_gde_safe_lai.py,"GDE-constrained safe LAI","Methods 2.3; Figure 3"
src/04_classify_vegetation_zone.py,"Restoration type intervals","Methods 2.3"
src/05_fix_hydro_support_table.py,"HydroSupport harmonization","Methods 2.1-2.3"
src/06_fix_eco_function_table.py,"EcoFunction harmonization","Methods 2.1-2.3"
src/07_merge_step5_support.py,"Step 5 support table","Methods 2.3"
src/08_build_candidate_library.py,"Candidate restoration library","Methods 2.3"
src/09_multiobjective_optimization.py,"Pareto optimization","Methods 2.3"
src/10_translate_best_solution_to_maps.py,"Map-ready restoration outputs","Results restoration maps"
src/11_qa_qc_checks.py,"QA/QC diagnostics","Supplementary QA"
src/12_gde_threshold_sensitivity.py,"GDE threshold sensitivity","Supplementary robustness"
src/13_weight_sensitivity.py,"Optimization weight sensitivity","Supplementary robustness"
src/14_rf_shap_attribution.py,"RF/SHAP attribution","Methods 2.5; Figure 4"
src/15_gam_vpd_marginal_response.py,"GAM/VPD marginal response","Methods 2.4; Figure 2; Table 2"
